titulo_video,id_video,data_publicacao,imagem,player_video,estatisticas,comentarios,favoritos,likes,visualizacoes,id_playlist,nome_playlist
VEDA # 12 - POR QUE OS VEDAS ATRASAM??,eOtsPSEiSCQ,2022-04-21T21:59:01Z,https://i.ytimg.com/vi/eOtsPSEiSCQ/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/eOtsPSEiSCQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '454425', 'likeCount': '67815', 'favoriteCount': '0', 'commentCount': '1411'}",1411,0,67815,454425,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 13 - FIQUE ATENTO AOS SINAIS,Q9nCVVgOQe4,2022-04-25T04:15:07Z,https://i.ytimg.com/vi/Q9nCVVgOQe4/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Q9nCVVgOQe4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '524721', 'likeCount': '52754', 'favoriteCount': '0', 'commentCount': '1986'}",1986,0,52754,524721,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
Mó Tristeza,1wV51cFiIX8,2021-10-15T23:00:03Z,https://i.ytimg.com/vi/1wV51cFiIX8/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/1wV51cFiIX8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '460582', 'likeCount': '59202', 'favoriteCount': '0', 'commentCount': '2071'}",2071,0,59202,460582,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
Money,QwOkvBVsj-w,2021-10-15T23:01:23Z,https://i.ytimg.com/vi/QwOkvBVsj-w/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/QwOkvBVsj-w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '365704', 'likeCount': '43996', 'favoriteCount': '0', 'commentCount': '1998'}",1998,0,43996,365704,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
Vida,W8oGrHz6YKY,2021-10-15T23:02:27Z,https://i.ytimg.com/vi/W8oGrHz6YKY/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/W8oGrHz6YKY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '324535', 'likeCount': '47248', 'favoriteCount': '0', 'commentCount': '3165'}",3165,0,47248,324535,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
Fardo,NW-8_XufdLU,2021-10-15T23:03:06Z,https://i.ytimg.com/vi/NW-8_XufdLU/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NW-8_XufdLU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '287936', 'likeCount': '30080', 'favoriteCount': '0', 'commentCount': '839'}",839,0,30080,287936,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
Patamar,s_VB495D5iM,2021-10-15T23:04:08Z,https://i.ytimg.com/vi/s_VB495D5iM/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/s_VB495D5iM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '468064', 'likeCount': '41111', 'favoriteCount': '0', 'commentCount': '1098'}",1098,0,41111,468064,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
Rolê,2HKOfwtYMKY,2021-10-15T23:05:16Z,https://i.ytimg.com/vi/2HKOfwtYMKY/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/2HKOfwtYMKY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '247124', 'likeCount': '25884', 'favoriteCount': '0', 'commentCount': '786'}",786,0,25884,247124,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
Bê Jota,lE9uTx5VOnc,2021-10-16T00:28:49Z,https://i.ytimg.com/vi/lE9uTx5VOnc/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lE9uTx5VOnc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '177272', 'likeCount': '20903', 'favoriteCount': '0', 'commentCount': '429'}",429,0,20903,177272,PLypClbHDpCW3UZ-zEkSBWqNwpL_VbVCTH,Lil Whind - Frente & Verso
É PARÁ QUE EU VOU feat Joelma e Murilo Couto,NgxS62s5uo8,2021-08-30T21:00:09Z,https://i.ytimg.com/vi/NgxS62s5uo8/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NgxS62s5uo8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '6257024', 'likeCount': '406740', 'favoriteCount': '0', 'commentCount': '13297'}",13297,0,406740,6257024,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
